date,OT
1996-01-01,0.0
1996-01-08,0.0
1996-01-15,0.0
1996-01-22,0.0
1996-01-29,0.0
1996-02-05,0.0
1996-02-12,0.0
1996-02-19,0.0
1996-02-26,0.0
1996-03-04,0.0
1996-03-11,0.0
1996-03-18,0.0
1996-03-25,0.0
1996-04-01,0.0
1996-04-08,0.0
1996-04-15,0.0
1996-04-22,0.0
1996-04-29,0.0
1996-05-06,0.0
1996-05-13,0.0
1996-05-20,0.0
1996-05-27,0.0
1996-06-03,0.0
1996-06-10,0.0
1996-06-17,0.2105263157894736
1996-06-24,0.1111111111111111
1996-07-01,0.0
1996-07-08,0.0416666666666666
1996-07-15,0.0
1996-07-22,0.0
1996-07-29,0.0
1996-08-05,0.0
1996-08-12,0.0
1996-08-19,0.0
1996-08-26,0.0
1996-09-02,0.0
1996-09-09,0.0
1996-09-16,0.0
1996-09-23,0.0
1996-09-30,0.0
1996-10-07,0.0
1996-10-14,0.0
1996-10-21,0.0
1996-10-28,0.0
1996-11-04,0.0
1996-11-11,0.0
1996-11-18,0.0
1996-11-25,0.0
1996-12-02,0.0
1996-12-09,0.0
1996-12-16,0.3333333333333333
1996-12-23,0.3333333333333333
1996-12-30,0.3333333333333333
1997-01-06,0.3333333333333333
1997-01-13,0.0
1997-01-20,0.5
1997-01-27,1.0
1997-02-03,0.0909090909090909
1997-02-10,0.0
1997-02-17,0.3
1997-02-24,0.0
1997-03-03,0.1111111111111111
1997-03-10,0.2222222222222222
1997-03-17,0.1
1997-03-24,0.1428571428571428
1997-03-31,0.1428571428571428
1997-04-07,0.1
1997-04-14,0.1
1997-04-21,0.0
1997-04-28,0.2
1997-05-05,0.1666666666666666
1997-05-12,0.3333333333333333
1997-05-19,0.16666666666666666
1997-05-26,0.0
1997-06-02,0.6666666666666666
1997-06-09,0.5
1997-06-16,0.3333333333333333
1997-06-23,0.6666666666666666
1997-06-30,0.8636363636363636
1997-07-07,0.8695652173913043
1997-07-14,0.2191780821917808
1997-07-21,0.1076923076923077
1997-07-28,0.2236842105263158
1997-08-04,0.4175824175824176
1997-08-11,0.171875
1997-08-18,0.0441176470588235
1997-08-25,0.0441176470588235
1997-09-01,0.0307692307692307
1997-09-08,0.0428571428571428
1997-09-15,0.0
1997-09-22,0.0649350649350649
1997-09-29,0.3333333333333333
1997-10-06,0.2
1997-10-13,0.2222222222222222
1997-12-22,0.2222222222222222
1997-12-29,0.0
1998-01-05,0.0
1998-01-12,0.0
1998-01-19,0.0
1998-01-26,0.0
1998-02-02,0.3333333333333333
1998-02-09,0.1428571428571428
1998-02-16,0.1428571428571428
1998-02-23,0.0
1998-03-02,0.0
1998-03-09,0.0
1998-03-16,0.0
1998-03-23,0.0
1998-03-30,0.0
1998-04-06,0.25
1998-04-13,0.7142857142857143
1998-04-20,0.3333333333333333
1998-04-27,4.0
1998-05-04,11.4
1998-05-11,7.2
1998-05-18,20.25
1998-05-25,13.8
1998-06-01,4.625
1998-06-08,1.8571428571428568
1998-06-15,1.1666666666666667
1998-06-22,2.0
1998-06-29,0.5
1998-07-06,0.4
1998-07-13,0.1428571428571428
1998-07-20,0.0909090909090909
1998-07-27,0.0
1998-08-03,0.0
1998-08-10,0.0
1998-08-17,0.0
1998-08-24,0.0
1998-08-31,0.0
1998-09-07,0.0
1998-09-14,0.0
1998-09-21,0.0
1998-09-28,0.0
1998-10-05,0.0
1998-10-12,0.1111111111111111
1998-10-19,0.0
1998-10-26,0.0625
1998-11-02,0.05
1998-11-09,0.0
1998-11-16,0.0
1998-11-23,0.0555555555555555
1998-11-30,0.0
1998-12-07,0.0
1998-12-14,0.0
1998-12-21,0.0588235294117647
1998-12-28,0.0625
1999-01-04,0.0769230769230769
1999-01-11,0.0
1999-01-18,0.0
1999-01-25,0.0
1999-02-01,0.0
1999-02-08,0.0
1999-02-15,0.0
1999-02-22,0.0
1999-03-01,0.0
1999-03-08,0.1428571428571428
1999-03-15,0.0454545454545454
1999-03-22,0.0952380952380952
1999-03-29,0.0
1999-04-05,0.0204081632653061
1999-04-12,0.0347826086956521
1999-04-19,0.0471698113207547
1999-04-26,0.0536912751677852
1999-05-03,0.1117647058823529
1999-05-10,0.5
1999-05-17,0.4333333333333333
1999-05-24,0.14
1999-05-31,0.2402234636871508
1999-06-07,0.3131868131868132
1999-06-14,0.4285714285714285
1999-06-21,0.3551912568306011
1999-06-28,0.3636363636363636
1999-07-05,0.2645161290322581
1999-07-12,0.2781456953642384
1999-07-19,0.2392638036809816
1999-07-26,0.0916030534351145
1999-08-02,0.099236641221374
1999-08-09,0.1592920353982301
1999-08-16,0.1532258064516129
1999-08-23,0.0833333333333333
1999-08-30,0.4
